Phenotype,HGNC
"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 2",RNASEH1
Jawad syndrome,RBBP8
Seckel syndrome 2,RBBP8
"Ichthyosis, congenital, autosomal recessive 14",SULT2B1
Myofibrillar myopathy 10,SVIL
Cousin syndrome,TBX15
"Thrombotic thrombocytopenic purpura, hereditary",ADAMTS13
"Neuronopathy, distal hereditary motor, autosomal recessive 5",DNAJB2
"Developmental delay, impaired speech, and behavioral abnormalities, with or without seizures",ARFGEF1
Polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy 1,TYROBP
"Dystonia-11, myoclonic",SGCE
Hyperekplexia 3,SLC6A5
"?Precocious puberty, central, 1",KISS1R
Hypogonadotropic hypogonadism 8 with or without anosmia,KISS1R
Pheochromocytoma/paraganglioma syndrome 6,SLC25A11
"Intellectual developmental disorder, autosomal dominant 21",CTCF
Diamond-Blackfan anemia 12,RPL15
Diamond-Blackfan anemia 7,RPL11
?Diamond-Blackfan anemia 18,RPL18
Extraoral halitosis due to MTO deficiency,SELENBP1
Ichthyosis prematurity syndrome,SLC27A4
"Neurodevelopmental disorder with microcephaly, epilepsy, and hypomyelination",MTHFS
"Neurodevelopmental disorder with ataxic gait, absent speech, and decreased cortical white matter",RAB11B
"Cerebral dysgenesis, neuropathy, ichthyosis, and palmoplantar keratoderma syndrome",SNAP29
Leber congenital amaurosis 8,CRB1
Pigmented paravenous chorioretinal atrophy,CRB1
Retinitis pigmentosa-12,CRB1
"Dyskeratosis congenita, autosomal recessive 6",PARN
"Pulmonary fibrosis and/or bone marrow failure syndrome, telomere-related, 4",PARN
Cavernous malformations of CNS and retina,KRIT1
Cerebral cavernous malformations-1,KRIT1
Hyperkeratotic cutaneous capillary-venous malformations associated with cerebral capillary malformations,KRIT1
Pulmonary alveolar microlithiasis,SLC34A2
Immunodeficiency 71 with inflammatory disease and congenital thrombocytopenia,ARPC1B
"Developmental delay, language impairment, and ocular abnormalities",ARPC4
Immunodeficiency 133 with autoimmunity and autoinflammation,ARPC5
Cold-induced sweating syndrome 1,CRLF1
"Glomerulosclerosis, focal segmental, 3",CD2AP
"?Central hypoventilation syndrome, congenital, 3",LBX1
"Growth hormone insensitivity with immune dysregulation 1, autosomal recessive",STAT5B
"Growth hormone insensitivity with immune dysregulation 2, autosomal dominant",STAT5B
"?Spinocerebellar ataxia, autosomal recessive 25",ATG5
Carpenter syndrome 2,MEGF8
Spinocerebellar ataxia 45,FAT2
"?Myasthenic syndrome, congenital, 17",LRP4
Cenani-Lenz syndactyly syndrome,LRP4
Sclerosteosis 2,LRP4
"Mitochondrial complex IV deficiency, nuclear type 2",SCO2
Myopia 6,SCO2
"Spastic paraplegia 4, autosomal dominant",SPAST
"Congenital heart defects, multiple types, 9",PLXND1
Camptodactyly-arthropathy-coxa vara-pericarditis syndrome,PRG4
"Hyperoxaluria, primary, type 1",AGXT
"?Microphthalmia, syndromic 11",VAX1
"Hyperoxaluria, primary, type II",GRHPR
Developmental and epileptic encephalopathy 53,SYNJ1
"Parkinson disease 20, early-onset",SYNJ1
"{Maturity-onset diabetes of the young, type 14}",APPL1
Spermatogenic failure 86,ACTL7A
"{Creutzfeldt-Jakob disease, variant, resistance to}",HLA-DQB1
?Hermansky-Pudlak syndrome 9,BLOC1S6
"{Macular degeneration, age-related, 11}",CST3
Cerebral amyloid angiopathy,CST3
Galactokinase deficiency with cataracts,GALK1
"Dyskeratosis congenita, autosomal dominant 3",TINF2
Revesz syndrome,TINF2
Salla disease,SLC17A5
"Sialic acid storage disorder, infantile",SLC17A5
Spinocerebellar ataxia 12,PPP2R2B
"Ehlers-Danlos syndrome, spondylodysplastic type, 1",B4GALT7
"Deafness, autosomal recessive 114",GRAP
Rafiq syndrome,MAN1B1
"Cortical malformations, occipital",LAMC3
Microphthalmia/coloboma and skeletal dysplasia syndrome,MAB21L2
"Intellectual developmental disorder, autosomal dominant 47",STAG1
Cone-rod dystrophy 12,PROM1
"Macular dystrophy, retinal, 2",PROM1
Retinitis pigmentosa 41,PROM1
Stargardt disease 4,PROM1
"Ciliary dyskinesia, primary, 1, with or without situs inversus",DNAI1
"Amyloidosis, primary localized cutaneous, 3",GPNMB
"Osteosarcoma, somatic","CHEK2,RB1"
"Tumor predisposition syndrome 4, breast/prostate/colorectal",CHEK2
"Bleeding disorder, platelet-type, 17",GFI1B
Hailey-Hailey disease,ATP2C1
"Episodic pain syndrome, familial, 3",SCN11A
"Neuropathy, hereditary sensory and autonomic, type VII",SCN11A
"Trichorhinophalangeal syndrome, type I",TRPS1
"Trichorhinophalangeal syndrome, type III",TRPS1
Cone-rod dystrophy,AIPL1
Leber congenital amaurosis 4,AIPL1
"Retinitis pigmentosa, juvenile","AIPL1,LRAT"
"{Endometrial cancer, susceptibility to}",MLH3
"Colorectal cancer, hereditary nonpolyposis, type 7",MLH3
Salt and pepper developmental regression syndrome,ST3GAL5
Omodysplasia 1,GPC6
"Neurodegeneration, childhood-onset, with multisystem involvement due to mitochondrial dysfunction",LETM1
CHOPS syndrome,AFF4
"Deafness, autosomal dominant 3B",GJB6
"Deafness, autosomal recessive 1B",GJB6
"Deafness, digenic GJB2/GJB6",GJB6
"Ectodermal dysplasia 2, Clouston type",GJB6
"Episodic pain syndrome, familial, 2",SCN10A
?Brugada syndrome 6,KCNE3
Ichthyosis with erythrokeratoderma,KLK11
"Epilepsy, early-onset, 1, vitamin B6-dependent",PLPBP
Developmental and epileptic encephalopathy 102,SLC38A3
"?Deafness, autosomal recessive 26",GAB1
Myelodysplastic syndrome,ACSL6
"Myelogenous leukemia, acute",ACSL6
"Lodder-Merla syndrome, type 1, with impaired intellectual development and cardiac arrhythmia",GNB5
"Lodder-Merla syndrome, type 2, with developmental delay and with or without cardiac arrhythmia",GNB5
Stankiewicz-Isidor syndrome,PSMD12
[Sarcosinemia],SARDH
Hepatic venoocclusive disease with immunodeficiency,SP110
{Asthma susceptibility 5},IRAK3
Spinocerebellar ataxia 44,GRM1
"Spinocerebellar ataxia, autosomal recessive 13",GRM1
Enhanced S-cone syndrome,NR2E3
Retinitis pigmentosa 37,NR2E3
"Deafness, autosomal recessive 18B",OTOG
"Cardiomyopathy, hypertrophic, 25",TCAP
"Muscular dystrophy, limb-girdle, autosomal recessive 7",TCAP
Alpha-methylacyl-CoA racemase deficiency,AMACR
"Bile acid synthesis defect, congenital, 4",AMACR
"Spastic ataxia, Charlevoix-Saguenay type",SACS
"Autoimmune disease, multisystem, infantile-onset, 3",CBLB
PEHO syndrome,ZNHIT3
"?Muscular dystrophy, congenital, Davignon-Chauveau type",TRIP4
Spinal muscular atrophy with congenital bone fractures 1,TRIP4
"Achondrogenesis, type IA",TRIP11
Odontochondrodysplasia 1,TRIP11
"Intellectual developmental disorder, autosomal dominant 49",TRIP12
Mosaic variegated aneuploidy syndrome 3,TRIP13
Oocyte/zygote/embryo maturation arrest 9,TRIP13
?Agammaglobulinemia 4,BLNK
"Vertebral, cardiac, renal, and limb defects syndrome 1",HAAO
Lymphatic malformation 9,CELSR1
Retinitis pigmentosa 46,IDH3B
"Ehlers-Danlos syndrome, dermatosparaxis type",ADAMTS2
"Hydrops, lactic acidosis, and sideroblastic anemia",LARS2
Perrault syndrome 4,LARS2
"Spondyloepimetaphyseal dysplasia, sponastrime type",TONSL
Premature ovarian failure 19,HSF2BP
Abdominal obesity-metabolic syndrome 3,DYRK1B
Joubert syndrome 19,ZNF423
Nephronophthisis 14,ZNF423
"Immunodeficiency, common variable, 1",ICOS
Polycystic kidney disease 7,ALG5
"Congenital disorder of glycosylation, type Ic",ALG6
{Autism susceptibility 15},CNTNAP2
Pitt-Hopkins like syndrome 1,CNTNAP2
Developmental and epileptic encephalopathy 37,FRRS1L
"Muscular dystrophy, limb-girdle, autosomal recessive 25",BVES
Exudative vitreoretinopathy 1,FZD4
Retinopathy of prematurity,FZD4
"?Cutis laxa, autosomal dominant 2",FBLN5
"Charcot-Marie-Tooth disease, demyelinating, type 1H",FBLN5
"Cutis laxa, autosomal recessive, type IA",FBLN5
"Macular degeneration, age-related, 3",FBLN5
"Neuropathy, hereditary, with or without age-related macular degeneration",FBLN5
Optic atrophy 12,AFG3L2
"Spastic ataxia 5, autosomal recessive",AFG3L2
Spinocerebellar ataxia 28,AFG3L2
"Hepatocellular cancer, somatic",PDGFRL
"{Amyotrophic lateral sclerosis, susceptibility to, 24}",NEK1
Short-rib thoracic dysplasia 6 with or without polydactyly,NEK1
"Osteopetrosis, autosomal recessive 1",TCIRG1
"Cortical dysplasia, complex, with other brain malformations 2",KIF5C
Short stature with microcephaly and distinctive facies,CRIPT
Fraser syndrome 3,GRIP1
"?Angioedema, hereditary, 7",MYOF
Birk-Landau-Perez syndrome,SLC30A9
"{Prostate cancer, hereditary, 9}",HOXB13
Bloom syndrome,BLM
Werner syndrome,WRN
Congenital anomalies of kidney and urinary tract 2,TBX18
Adrenocorticotropic hormone deficiency,TBX19
Intellectual developmental disorder with autism and speech delay,TBR1
"Epilepsy, familial temporal lobe, 1",LGI1
"?Neuronopathy, distal hereditary motor, autosomal dominant 4",HSPB3
"Amelogenesis imperfecta, type IIA2",MMP20
"Obesity, mild, early-onset",NR0B2
"Striatonigral degeneration, childhood-onset",VAC14
"Cutis laxa, autosomal recessive, type IB",EFEMP2
"Glomerulosclerosis, focal segmental, 1",ACTN4
"Encephalopathy, progressive, early-onset, with brain atrophy and thin corpus callosum",TBCD
"Hemochromatosis, type 4",SLC40A1
Immunodeficiency 112,MAP3K14
"{Dengue fever, protection against}",CD209
"{HIV type 1, susceptibility to}",CD209
"Intellectual developmental disorder, autosomal dominant 34",CERT1
"?Microtia, hearing impairment, and cleft palate (AR)",HOXA2
Microtia with or without hearing impairment (AD),HOXA2
"{Asthma, susceptibility to, 1}",PTGDR
Spermatogenic failure 82,AKAP3
Joubert syndrome 35,ARL3
Retinitis pigmentosa 83,ARL3
?Immunodeficiency 85 and autoimmunity,TOM1
Retinitis pigmentosa 38,MERTK
"Cutis laxa, autosomal recessive, type IC",LTBP4
Mitochondrial DNA depletion syndrome 8A (encephalomyopathic type with renal tubulopathy),RRM2B
Mitochondrial DNA depletion syndrome 8B (MNGIE type),RRM2B
"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 5",RRM2B
"Rod-cone dystrophy, sensorineural deafness, and Fanconi-type renal dysfunction",RRM2B
Sudden infant death with dysgenesis of the testes syndrome,TSPYL1
"Hemochromatosis, type 3",TFR2
Combined oxidative phosphorylation deficiency 3,TSFM
Hepatorenocardiac degenerative fibrosis,TULP3
"Neurodevelopmental disorder, mitochondrial, with abnormal movements and lactic acidosis, with or without seizures",WARS2
"Parkinsonism-dystonia 3, childhood-onset",WARS2
"Periodic fever, immunodeficiency, and thrombocytopenia syndrome",WDR1
"Bile acid synthesis defect, congenital, 2",AKR1D1
?Immunodeficiency 53,RELB
"Pregnancy loss, recurrent, 4",SYCP3
Spermatogenic failure 4,SYCP3
"Nephrotic syndrome, type 2",NPHS2
"Corneal dystrophy, punctiform and polychromatic pre-Descemet",PRDX3
"Spinocerebellar ataxia, autosomal recessive 32",PRDX3
Isobutyryl-CoA dehydrogenase deficiency,ACAD8
"Hypobetalipoproteinemia, familial, 2",ANGPTL3
"?Episodic pain syndrome, familial, 1",TRPA1
Chanarin-Dorfman syndrome,ABHD5
"?Deafness, autosomal dominant 68",HOMER2
Hypogonadotropic hypogonadism 21 with anosmia,FLRT3
Verheij syndrome,PUF60
"?Tumoral calcinosis, hyperphosphatemic, familial, 3",KL
?Weyers acrofacial dysostosis,EVC
Ellis-van Creveld syndrome,"EVC,EVC2"
"{Encephalopathy, acute, infection-induced (herpes-specific), susceptibility to, 8}",TBK1
Frontotemporal dementia and/or amyotrophic lateral sclerosis 4,TBK1
Spermatogenic failure 77,FKBP6
"Hyperbilirubinemia, Rotor type, digenic","SLCO1B1,SLCO1B3"
Neurofacioskeletal syndrome with or without renal agenesis,HS2ST1
{Hypogonadotropic hypogonadism 15 with or without anosmia},HS6ST1
"Neutropenia, severe congenital, 8, autosomal dominant",SRP54
"?Neutropenia, severe congenital, 10, autosomal recessive",SRP68
Immunodeficiency 12,MALT1
[?Birbeck granule deficiency],CD207
Leber congenital amaurosis 14,LRAT
[Beta-glycopyranoside tasting],TAS2R16
"Deafness, autosomal recessive 111",MPZL2
"Myasthenic syndrome, congenital, 24, presynaptic",MYO9A
Agenesis of the corpus callosum with peripheral neuropathy,SLC12A6
"Charcot-Marie-Tooth disease, axonal, type 2II",SLC12A6
"Diarrhea 4, malabsorptive, congenital",NEUROG3
Neurodevelopmental disorder with or without early-onset generalized epilepsy,NBEA
?Immunodeficiency 88,TBX21
Asthma and nasal polyps,TBX21
Bardet-Biedl syndrome 6,MKKS
McKusick-Kaufman syndrome,MKKS
"Diarrhea 7, protein-losing enteropathy type",DGAT1
Cerebellofaciodental syndrome,BRF1
"Immunodeficiency, common variable, 2",TNFRSF13B
Immunoglobulin A deficiency 2,TNFRSF13B
"Intellectual developmental disorder with nasal speech, dysmorphic facies, and variable skeletal anomalies",CNOT2
"Intellectual developmental disorder with speech delay, autism, and dysmorphic facies",CNOT3
"Intellectual developmental disorder, autosomal recessive 40",TAF2
"Holoprosencephaly 12, with or without pancreatic agenesis",CNOT1
Vissers-Bodmer syndrome,CNOT1
"?Pontocerebellar hypoplasia, type 3",PCLO
"Congenital cataracts, facial dysmorphism, and neuropathy",CTDP1
"Adenomas, multiple colorectal",MUTYH
"Encephalopathy, progressive, with amyotrophy and optic atrophy",TBCE
Hypoparathyroidism-retardation-dysmorphism syndrome,TBCE
"Kenny-Caffey syndrome, type 1",TBCE
"?Deafness, autosomal recessive 61",SLC26A5
"{AIDS, delayed/rapid progression to}",KIR3DL1
"Pigmented nodular adrenocortical disease, primary, 2",PDE11A
"T-cell immunodeficiency, recurrent infections, autoimmunity, and cardiac malformations",STK4
Immunodeficiency due to ficolin 3 deficiency,FCN3
Lamb-Shaffer syndrome,SOX5
[Skeletal muscle glycogen content and metabolism QTL],PRKAG3
"Anemia, congenital dyserythropoietic, type IIIb, autosomal recessive",RACGAP1
Hermansky-Pudlak syndrome 1,HPS1
?Mitochondrial DNA depletion syndrome 16 (hepatic type),POLG2
?Mitochondrial DNA depletion syndrome 16B (neuroophthalmic type),POLG2
"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 4",POLG2
Spinocerebellar ataxia 5,SPTBN2
"Spinocerebellar ataxia, autosomal recessive 14",SPTBN2
"Nephrolithiasis/osteoporosis, hypophosphatemic, 2",NHERF1
Immunodeficiency 8,CORO1A
Netherton syndrome,SPINK5
Hennekam lymphangiectasia-lymphedema syndrome 3,ADAMTS3
Neurodevelopmental disorder with dysmorphic facies and thin corpus callosum,SUPT16H
"Hemophagocytic lymphohistiocytosis, familial, 4",STX11
?Frontotemporal dementia and/or amyotrophic lateral sclerosis 8,CYLD
Brooke-Spiegler syndrome,CYLD
"Cylindromatosis, familial",CYLD
"Trichoepithelioma, multiple familial, 1",CYLD
?Craniofacial anomalies and anterior segment dysgenesis syndrome,VSX1
Keratoconus 1,VSX1
?Knobloch syndrome 2,PAK2
"Epidermolysis bullosa, junctional 7, with interstitial lung disease and nephrotic syndrome",ITGA3
"Microcephaly and chorioretinopathy, autosomal recessive, 2",PLK4
Developmental and epileptic encephalopathy 63,CPLX1
Neurodevelopmental disorder with absent language and variable seizures,WASF1
"Intellectual developmental disorder, autosomal recessive 18, with or without epilepsy",MED23
"Neurodevelopmental disorder with spasticity, cataracts, and cerebellar hypoplasia",MED27
?Immunodeficiency 39,IRF7
[Sedoheptulokinase deficiency],SHPK
"Anemia, congenital dyserythropoietic, type IIIA",KIF23
Oculopharyngodistal myopathy 2,GIPC1
Mulibrey nanism,TRIM37
"Amyotrophic lateral sclerosis 10, with or without FTD",TARDBP
"Frontotemporal lobar degeneration, TARDBP-related",TARDBP
Achromatopsia 3,CNGB3
{Osteoarthritis susceptibility 1},FRZB
Myopathy with extrapyramidal signs,MICU1
Polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy 2,TREM2
"Neurodevelopmental disorder with hypotonia and cerebellar atrophy, with or without seizures",PIGK
Jansen-de Vries syndrome,PPM1D
"Congenital heart defects, nonsyndromic, 2",TAB2
MASP2 deficiency,MASP2
"Macrocephaly, dysmorphic facies, and psychomotor retardation",HERC1
"Deafness, autosomal recessive 68",S1PR2
Hyperlysinemia,AASS
"Telangiectasia, hereditary hemorrhagic, type 5",GDF2
"Diarrhea 3, secretory sodium, congenital, syndromic",SPINT2
Developmental and epileptic encephalopathy 28,WWOX
"Esophageal squamous cell carcinoma, somatic","WWOX,LZTS1"
"Spinocerebellar ataxia, autosomal recessive 12",WWOX
Chondrocalcinosis 2,ANKH
Craniometaphyseal dysplasia,ANKH
"Heterotaxy, visceral, 11, autosomal, with male infertility",CFAP45
"Anterior segment dysgenesis 7, with sclerocornea",PXDN
"Ciliary dyskinesia, primary, 33",GAS8
Adams-Oliver syndrome 6,DLL4
"Heterotaxy, visceral, 2, autosomal",CFC1
"Spondylocostal dysostosis 2, autosomal recessive",MESP2
?Hydroxykynureninuria,KYNU
"Vertebral, cardiac, renal, and limb defects syndrome 2",KYNU
"Spondyloepimetaphyseal dysplasia, Camera-Genevieve type",NANS
"{Dystonia-1, modifier of}",TOR1A
Arthrogryposis multiplex congenita 5,TOR1A
"Dystonia-1, torsion",TOR1A
"{Hypercalciuria, absorptive, susceptibility to}",ADCY10
"{Epilepsy, idiopathic generalized, susceptibility to, 18}",HCN4
Brugada syndrome 8,HCN4
Sick sinus syndrome 2,HCN4
Craniosynostosis with radiohumeral fusions and other skeletal and craniofacial anomalies,CYP26B1
"{Schizophrenia 9, susceptibility to}",DISC1
"Deafness, autosomal dominant 64",DIABLO
"Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart",RERE
"Neuropathy, hereditary sensory and autonomic, type II",WNK1
"Pseudohypoaldosteronism, type IIC",WNK1
"?Myoclonus, familial, 1",NOL3
Preeclampsia/eclampsia 5,CORIN
"Basal ganglia calcification, idiopathic, 6",XPR1
"Intellectual developmental disorder, autosomal recessive 51",HNMT
"Distal renal tubular acidosis 3, with or without sensorineural hearing loss",ATP6V0A4
"Deafness, autosomal recessive 18A",USH1C
"Usher syndrome, type 1C",USH1C
"Intellectual developmental disorder, autosomal recessive 75, with neuropsychiatric features and variant lissencephaly",PIDD1
Mucolipidosis IV,MCOLN1
"Acne inversa, familial, 1",NCSTN
"Immunodeficiency with hyper-IgM, type 2",AICDA
"Charcot-Marie-Tooth disease, type 4D",NDRG1
"?Charcot-Marie-Tooth disease, axonal, autosomal dominant, type 2K",JPH1
"Cardiomyopathy, dilated, 2E",JPH2
"Cardiomyopathy, hypertrophic, 17",JPH2
Huntington disease-like 2,JPH3
Mucopolysaccharidosis type IIIA (Sanfilippo A),SGSH
Schaaf-Yang syndrome,MAGEL2
Lymphangioleiomyomatosis,TSC1
Tuberous sclerosis-1,TSC1
"{Diabetes mellitus, noninsulin-dependent 1}",CAPN10
?Mitochondrial DNA depletion syndrome 14 (encephalocardiomyopathic type),OPA1
Behr syndrome,OPA1
Optic atrophy 1,OPA1
Optic atrophy plus syndrome,OPA1
Macular corneal dystrophy,CHST6
Thrombocytopenia-absent radius syndrome,RBM8A
Neurodevelopmental disorder with central hypotonia and dysmorphic facies,HDAC4
Speech-language disorder-1,FOXP2
"{Hypertension, salt-sensitive essential, susceptibility to}",CYP3A5
Malignant fibrous histiocytoma,MFHAS1
Developmental and epileptic encephalopathy 56,YWHAG
